,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6713,1237657401879101659,933444728572110848,130.221604,39.922616,0.030664,134.412,10.2958,-3.8922,2
6714,1237667212677218496,2513130702069852160,185.86848,30.984466,0.028461,124.551,10.1355,-0.7111,2
6718,1237667444043284577,2506410211988760576,181.020518,28.164542,0.030344,132.978,10.6926,-3.7128,2
6719,1237665428110639527,2474884191624390656,244.828829,15.67607,0.03051,133.724,10.2111,-2.3064,2
6720,1237654342253477918,681231880401479680,209.741557,61.680714,0.02992,131.078,10.1322,-0.5483,2
6721,1237657401879560349,933502452932569088,131.273856,40.559502,0.029076,127.302,10.292,-0.623,2
6722,1237664667366064299,2285724479030061056,168.123944,37.881184,0.028808,126.105,10.1622,-0.493,2
6724,1237668289622835293,2791210667573536768,160.62177,18.610006,0.030885,135.405,10.1197,-1.2975,2
6725,1237667446200664168,3000535417364703232,204.094144,22.775171,0.031486,138.103,10.2585,0.8399,2
6727,1237671125369291130,2733751832915503104,130.423923,11.392085,0.029202,127.866,10.0792,-0.639,2
6728,1237665550496759963,2528938379735754752,206.470681,26.775173,0.029876,130.883,10.2525,-0.4441,2
6729,1237661068711952475,1963585981462374400,151.34567,11.728972,0.03094,135.652,10.1124,0.2215,2
6730,1237661433785286693,1575217310895990784,226.846817,38.420403,0.029012,127.015,10.0229,-4.199,2
6731,1237658203975844003,1438958675824764928,189.306422,49.448224,0.029913,131.048,10.8252,-2.9977,2
6732,1237655502424178861,1094513013890770944,255.417871,34.520359,0.02947,129.067,10.2623,-4.1212,2
6733,1237655369820536897,871533702545434624,164.110173,60.692132,0.029523,129.304,10.5826,-3.802,2
6734,1237667782810927235,2730317239138936832,128.405242,13.055791,0.03014,132.063,10.629,-3.8005,2
6735,1237651735236641011,344636449632577536,217.852483,1.234389,0.029997,131.424,10.5018,-3.9428,2
6736,1237651252590084371,708286183569909760,249.39093,44.870754,0.031716,139.135,10.3241,-2.7301,2
6737,1237654398613913657,869212360114464768,158.541231,61.607742,0.029824,130.649,10.5043,-3.8196,2
6738,1237668670790696980,869250568143529984,156.702144,61.272948,0.031032,136.065,10.5739,-3.5942,2
6739,1237658304353075303,1067511756974221312,161.188293,58.454953,0.0313,137.267,10.5163,-0.4938,2
6740,1237658802577539120,1169952710259140608,195.756793,55.089193,0.028709,125.661,10.2812,-3.9993,2
6741,1237661852018999354,1521201871627249664,223.580739,38.808305,0.028972,126.835,10.8813,-3.4351,2
6742,1237661949193748520,1921987622218000384,215.04609,10.262912,0.030496,133.662,11.2572,-3.2908,2
6743,1237663547440365746,2007515874591795200,127.05391,55.269809,0.029493,129.169,10.0472,-4.3233,2
6744,1237662224597713014,2238352020044015616,165.563581,37.966093,0.028914,126.577,10.2667,-4.0088,2
6746,1237668336861512146,2841775014921922560,242.766423,14.012115,0.031345,137.469,10.1305,-1.8942,2
6747,1237655373036978215,1320836493308094464,248.426403,39.185138,0.029841,130.728,10.2612,-3.8742,2
6748,1237655472897130549,922186556033230848,252.721683,35.477067,0.030377,133.126,10.6343,-3.7696,2
6749,1237664818744328306,2232826423905642496,165.252782,35.638525,0.030488,133.624,10.0558,-0.1089,2
6750,1237661850408714262,1521143047755163648,223.685626,37.412722,0.03116,136.64,10.2646,-3.891,2
6751,1237668310551560232,3115425586558822400,230.532626,13.928223,0.030094,131.861,10.8909,-3.434,2
